City,Ethnicity/Race,Religion,Sexual Orientation
Total,,8,0
Cities,7,0,0
Benton,1,0,0
Conway,1,0,0
Fort Smith,4,0,0
Searcy,1,0,0
Nonmetropolitan Counties,1,0,1
Logan,1,0,0
Pope,0,0,1
Total,,143,36
Cities,143,32,30
Apache Junction,2,1,1
Casa Grande,1,0,0
Coolidge,4,0,0
Flagstaff,0,1,0
Gilbert,0,2,0
Glendale,9,0,0
Mesa,2,0,1
Page,1,0,0
Phoenix2,111,20,23
San Luis,1,0,0
Scottsdale,1,1,1
Somerton,1,0,0
Surprise,2,1,0
Tempe,1,0,0
Tucson,6,6,4
Yuma,1,0,0
Universities and Colleges,0,4,0
University of Arizona,0,4,0
Total,,524,208
Cities Total,447,193,212
Alameda,2,0,0
Antioch,2,1,1
Apple Valley,0,0,2
Arvin,0,1,0
Azusa,2,0,1
Bakersfield,1,0,1
Beaumont,1,0,0
Bell,0,0,1
Bellflower,1,0,0
Bell Gardens,0,0,1
Belmont,0,0,1
Berkeley,4,2,2
Beverly Hills,1,6,2
Big Bear,1,0,0
Brea,0,1,4
Brentwood,0,4,0
Brisbane,1,0,0
Buena Park,1,0,0
Burbank,7,0,0
Camarillo,1,0,0
Capitola,0,1,0
Carlsbad,5,0,0
Cathedral City,1,0,0
Central Marin,0,1,0
Chico,2,0,0
Chino,2,1,0
Chula Vista,6,2,0
Citrus Heights,1,0,1
Claremont,1,0,1
Clearlake,2,1,0
Clovis,1,0,0
Coachella,0,0,1
Compton,1,0,0
Concord,2,0,0
Coronado,0,0,1
Costa Mesa,3,0,0
Cupertino,1,0,0
Cypress,1,0,0
Davis,0,1,0
Delano,2,0,0
Dublin,1,0,0
El Cajon,1,0,0
El Cerrito,1,0,0
Elk Grove,0,1,0
El Monte,3,0,0
El Segundo,1,0,0
Emeryville,1,0,0
Escondido,3,1,0
Eureka,1,0,1
Fairfield,1,0,1
Folsom,0,0,1
Fontana,1,0,0
Fountain Valley,1,0,0
Fremont,2,2,0
Fresno,8,2,2
Fullerton,1,0,1
Galt,0,0,1
Garden Grove,1,0,1
Greenfield,1,0,0
Hawthorne,2,0,2
Hayward,4,0,0
Huntington Beach,4,3,1
Huntington Park,1,0,1
Imperial,0,1,0
Imperial Beach,2,2,0
Irvine,4,1,2
Laguna Woods,0,1,0
Lake Forest,0,1,0
Lancaster,7,1,1
Lemon Grove,1,0,0
Livermore,1,0,1
Long Beach,18,1,4
Los Angeles2,118,81,70
Malibu,1,0,0
Marina,1,0,0
Martinez,0,1,1
Marysville,0,1,0
Mission Viejo,0,2,0
Modesto,3,0,0
Montebello,0,1,0
Monterey,0,0,1
Monterey Park,1,0,0
Moreno Valley,1,0,0
National City,1,0,0
